English,Arabic
buckles,أبازيم
expenditure,الإنفاق
solis,سوليس
arriba,arriba
kebabs,كباب
unscheduled,غير مجدولة
clench,حسم
bravado,تبجح
inbred,فطري
garvin,جارفين
breezes,النسائم
astaire,أستير
ofit,ofit
tibbs,tibbs
waived,تنازلت
6-year-old,6 سنوات
three-year,ثلاث سنوات
katrin,كاترين
irrefutable,لا يقبل الجدل
larva,يرقة
lymph,الليمفاوية
deteriorate,تتدهور
scrumptious,شهي
acquit,تبرئة
capisce,كابسي
crimea,شبه جزيرة القرم
sanctimonious,مقدس
antiquated,عتيق
captors,الخاطفون
babbles,الثرثرة
labors,عمال
cécile,سيسيل
winces,جفل
paused,متوقف مؤقتا
catalan,الكاتالونية
cheol,cheol
cb,سي بي
simons,سيمونز
lillie,ليلي
banco,بانكو
rr,ص
pterodactyl,الزاحف المجنح
veils,الحجاب
subsidiary,فرعية
jubei,jubei
clunk,نقرة
terminology,مصطلحات
had-,ملك-
wifey,زوجة
colombians,الكولومبيين
turnin,com.turnin
bays,الخلجان
confidently,بثقة
outwit,يخدع
kau,كاو
strengthening,تقوية
dn,الاسم المميز
s.u.v.,s.u.v.
complimented,أثنى
discouraging,محبط
simona,سيمونا
mvp,أفضل لاعب
custom-made,مصنوع بطريقة مخصصة
cinder,جمرة
comparative,مقارن
stepbrother,أخ غير شقيق
gyro,الجيروسكوب
goblet,كأس
punchy,مثقوب
buren,بورين
synch,مزامنة
boku,com.boku
surrenders,يستسلم
life-support,دعم الحياة
farhad,فرهاد
mozzie,موزي
addons,الإضافات
trove,دفين
doody,doody
jun.,يونيو.
consolidate,توحيد
breastfeeding,الرضاعة الطبيعية
accelerates,يتسارع
kota,كوتا
misfit,غير مناسب
fey,رسومي
ayako,أياكو
haemorrhage,نزيف
when-,متى-
ex-cop,شرطي سابق
circa,حوالي
feckin,feckin
billed,فاتورة
milked,حلب
double-checked,فحص مزدوج
advises,ينصح
rajeev,راجيف
milf,جبهة مورو
pre-op,قبل العملية
easing,تخفيف
blackbeard,بلاكبيرد
suzu,سوزو
caboose,كابوس
kegs,براميل
deline,تحديد
ueno,com.ueno
gravestone,شاهد القبر
toya,تويا
u.k.,المملكة المتحدة.
strychnine,الإستركنين
ozu,أوزو
carrion,الجيف
lissa,ليزا
extenuating,مخفف
fubuki,فوبوكي
fozzie,فوزي
ood,طيب
pruitt,برويت
facto,أمر واقع
puns,التورية
barone,بارون
vw,فولكس فاجن
danilo,دانيلو
transmitters,أجهزة الإرسال
nyssa,nyssa
passive-aggressive,سلبي عدواني
leeway,الفسحة
abnormalities,تشوهات
a.d.a.,أ.د.أ.
suspending,تعليق
tirelessly,بلا كلل
citing,نقلا عن
soleil,سولي
decepticon,ديسيبتيكون
presbyterian,المشيخي
calista,كاليستا
sardar,سردار
quirks,المراوغات
hubris,الغطرسة
hyeong,هيونغ
thirty-three,ثلاثة وثلاثون
mayhew,مايهيو
testimonies,شهادات
abdel,عبد
imperfections,العيوب
sill,عتبة
off-,عن-
niner,تسعة
canes,قصب
philistines,الفلسطينيين
booties,الجوارب
depp,ديب
devdas,ديفداس
espn,espn
sidle,مشى جانبا
cred,الائتمان
diagnostics,التشخيص
shackleton,شاكلتون
musty,عفن
yukio,يوكيو
eased,خفف
compressor,ضاغط
spontaneity,العفوية
neapolitan,نابولي
ayla,ayla
ramble,نزهة
zoinks,zoinks
mire,مستنقع
cfo,المدير المالي
subcommittee,اللجنة الفرعية
obituaries,نعي
aiko,ايكو
channeling,توجيه
kirsty,كيرستي
say-so,قل ذلك
arr,وصول
dokey,dokey
très,تريس
yου,أنت
contentment,الرضا
dyer,صباغ
jumble,الخليط
osborn,أوزبورن
aspiration,الطموح
hav,هاف
mears,ميرز
swivel,قطب
cougars,الكوجر
jetty,رصيف المراكب الصغيرة
ronon,رونون
psalm,مزمور
marat,مارات
plucky,مقدام
hobie,هوبي
chrissakes,كريساكيس
-no,-لا
gyeong,gyeon
untidy,غير مرتب
romy,رومي
northumberland,نورثمبرلاند
illustration,توضيح
wading,الخوض
tosa,توسا
dali,دالي
kfc,كنتاكي فرايد تشيكن
centimeter,سنتيمتر
mou,مذكرة التفاهم
harlee,هارلي
godly,تقي
cervix,عنق الرحم
gato,جاتو
work-,عمل-
realty,العقارات
pena,بينا
sanju,سانجو
garbo,جاربو
trudi,ترودي
pariah,منبوذ
cameo,حجاب
bilge,آسن
ruskin,روسكين
inflicting,إلحاق
bannon,بانون
numero,رقم
pings,الأصوات
r2,ص2
phooey,فوي
babel,بابل
creeped,زاحف
mook,موك
tuts,توتس
gare,جار
emancipated,متحرر
laguna,لاغونا
f1,f1
bellboy,خادم الفندق
shockingly,بشكل مثير للصدمة
cross-referenced,مرجعية
unsupervised,غير خاضعة للرقابة
hara,هارا
marthe,مارث
fuego,فويغو
guang,غوانغ
boasted,تفاخر
any-,أي-
synchronize,تزامن
aboriginal,السكان الأصليين
methodology,المنهجية
watertight,مقاوم للماء
seance,جلسة تحضير الأرواح
tester,اختبار
loopy,مجنون
elude,مراوغة
blare,بوق
winn,com.winn
molds,قوالب
mahler,ماهلر
ponzi,بونزي
pappa,بابا
janos,يانوس
retrieving,استرجاع
dogma,عقيدة
purr,خرخرة
cady,كادي
levers,العتلات
aguilar,aguilar
pees,يتبول
colbyco,colbyco
sidetracked,انحرفت
flor,فلور
alphaff,com.alphaff
dialog,الحوار
degas,ديغا
eton,ايتون
mok,موك
lob,رفع الكرة
ply,رقائق
yessir,نعم
moderately,باعتدال
waah,واه
blane,بلين
airy,متجدد الهواء
swanky,فاخر
blye,blye
barnum,barnum
amiga,com.amiga
hubba,hubba
antsy,نمل
sherif,شريف
a.i.,منظمة العفو الدولية.
hagan,هاجان
primer,التمهيدي
ao,ao
institutionalized,مؤسسي
canst,يمكن
tran,تران
elinor,إلينور
displeasure,استياء
life-forms,أشكال الحياة
snowboarding,التزلج على الجليد
linebacker,ظهير
zim,زيم
jiao,جياو
peppy,مفعم بالحيوية
assortment,تشكيلة
minty,منتي
penner,قلم
gung,بندقية
habeas,المثول أمام القضاء
parton,com.parton
blab,ثرثار
nationalists,القوميين
meir,مئير
fonda,فوندا
billa,بيلا
chekhov,تشيخوف
chambermaid,خادمة الغرفة
kernel,نواة
creatively,بشكل خلاق
brazilians,برازيليين
saws,مناشير
m-my,م-بلدي
directorate,مديرية
1o,1o
hoy,هوي
bryson,بريسون
slurp,تسرع في الشراب
didem,ديديم
southerners,الجنوبيين
woong,woong
kree,كري
boden,بودين
denning,denning
alvey,alvey
capitan,كابيتان
triangular,الثلاثي
evoke,استحضار
contemplation,التأمل
sabu,سابو
femininity,الأنوثة
toke,توك
munni,موني
welder,لحام
self-interest,المصلحة الذاتية
imf,صندوق النقد الدولي
heady,مسكر
tay,تاي
horoscopes,الأبراج
tropic,مدار
counterfeiting,التزييف
organisations,المنظمات
anyhoo,على أية حال
limitation,القيد
aggravation,تفاقم
yagami,ياغامي
pogo,بوجو
clinch,ينتزع
atwater,atwater
yash,ياش
mijo,com.mijo
radial,شعاعي
congestion,ازدحام
bringin,جلبين
werert,ويرت
inconsistencies,التناقضات
plush,أفخم
ruthlessly,بلا رحمة
three-legged,ثلاثة أرجل
rainey,Rainey
sift,نخل
valour,بسالة
basta,باستا
kinsey,كينزي
macpherson,ماكفيرسون
caprica,كابريكا
tingly,بوخز
dez,dez
four-wheel,أربع عجلات
kristi,كريستي
euthanasia,القتل الرحيم
fondle,ربت
roshan,روشان
dispel,تبديد
belay,ثبت
naoki,ناوكي
sullen,متجهم
dior,ديور
kerem,كيرم
sh-,ش-
uh.,أوه.
doherty,دوهرتي
curie,كوري
gotta-,يجب-
testy,عصبي
sagar,ساجار
throes,مخاض
mccullough,مكولوغ
lemurs,الليمور
huo,هوه
house-,منزل-
evers,من أي وقت مضى
intubation,التنبيب
malfunctioned,معطل
cuddles,الحضن
narf,نارف
meaty,لحمي
paddington,بادينغتون
typo,خطأ مطبعي
w-,ث-
hereto,هنا
slider,المنزلق
sinha,سينها
kuo,كو
willem,ويليم
hello.,مرحبًا
christmastime,وقت عيد الميلاد
angelo,Angelo
dumas,دوما
dulles,بلادل
dawdle,بدد
nene,نيني
orac,أوراك
reliability,مصداقية
sear,احرق
tapas,تاباس
witherspoon,ويذرسبون
prissy,متعفف
advertisers,المعلنين
see-through,رؤية من خلال
quotas,الحصص
treble,ثلاثة أضعاف
administering,إدارة
perils,مخاطر
mowed,قص
grouch,تذمر
gump,غامب
merde,ميردي
kroll,كرول
jeopardizing,تعريض للخطر
trafficker,تاجر
nong,نونج
malnutrition,سوء التغذية
jaya,جايا
nutritional,غذائية
girl-,بنت-
contemptible,حقير
dykes,السدود
resuscitation,الإنعاش
toi,توي
bales,بالات
mews,الإسطبلات
awkwardness,الاحراج
full-grown,كامل النمو
veda,فيدا
tipper,قلاب
time.,وقت.
farber,فاربر
balkan,البلقان
knighthood,لقب الفروسية
kathie,كاثي
desai,ديساي
weepy,بكاء
shiner,شاينر
basking,الفرح
opa,أوبا
adolfo,adolfo
sagittarius,برج القوس
look,ينظر
smurfs,سنفور
wares,التركيبات
memorizing,الحفظ
seabed,قاع البحر
councilwoman,عضوة المجلس
nationalism,القومية
hsu,هسو
technodrome,تكنودروم
one-of-a-kind,واحدة من نوعها
mayumi,مايومي
magnificence,روعة
zbz,zbz
paine,باين
embankment,السد
outed,نزه
siphon,سيفون
shoals,المياه الضحلة
one-legged,ذو ساق واحدة
three-time,ثلاث مرات
neutrality,الحياد
rhade,rhade
bas,باس
coined,صاغ
baudelaire,بودلير
impersonator,منتحل
concoction,طهو
ven,فين
light-headed,خفيف الرأس
ogling,التحديق
trig,علم حساب المثلثات
kaylee,kaylee
money-,مال-
spiro,سبيرو
pl,رر
soraya,ثريا
see.,يرى.
mutts,المغفلون
magoo,com.magoo
thirteenth,الثالث عشر
directs,يوجه
impressing,مثير للإعجاب
plantagenet,com.plantagenet
jakes,جاكس
furies,الغضب
taki,تاكي
meta,ميتا
recuperate,تعافي
self-serving,خدمة ذاتية
shunt,ناور
youll,عليك
jesuit,اليسوعي
arrgh,arrgh
concord,كونكورد
yeogu,يوغو
durand,دوراند
i`ve,لقد
tivo,تيفو
blacklisted,القائمة السوداء
unsatisfied,غير راض
niang,نيانغ
motherless,بلا أم
momoko,موموكو
acronym,اختصار
clots,جلطات
you-know-what,أتعلم
peeked,ألقي نظرة خاطفة
lundy,لوندي
i.c.u.,وحدة العناية المركزة.
obelix,obelix
ferg,فرج
dermatologist,طبيب امراض جلدية
daniele,دانييل
mahdi,المهدي
antwon,antwon
naga,ناجا
kaze,كازي
duvall,دوفال
stilts,ركائز متينة
d-,د-
assimilate,استيعاب
siddhu,siddhu
ala,علاء
derivatives,المشتقات
spectacularly,بشكل مذهل
reenactment,إعادة تمثيل
gwi,com.gwi
palma,بالما
goren,جورين
krakow,كراكوف
quiero,quiero
machiavelli,مكيافيلي
laney,com.laney
chitti,com.chitti
bumming,تذمر
swordsmanship,مهارة المبارزة
storehouse,مخزن
hickok,هيكوك
mailer,الارسال
dl,دل
gault,غولت
mouch,موك
godard,جودارد
breadth,اتساع
60th,الستين
coexist,تعايش
rasta,الراستا
crais,كريس
orthopedic,العظام
quimby,كيمبي
ak-47,ايه كيه-47
panics,الذعر
untill,حتى
anni,آني
dinesh,دينيش
tish,تيش
tosses,يرمي
specializing,متخصصة
tiller,الحارث
newfoundland,نيوفاوندلاند
extraordinaire,فوق العادة
scarab,الجعران
illumination,إضاءة
barns,الحظائر
argo,أرجو
emo,ايمو
reprehensible,مستهجن
pips,نقطة
ok,نعم
convoys,قوافل
mutter,تمتم
dijon,ديجون
muthu,موثو
diocese,أبرشية
bartenders,السقاة
workup,Workup
getcha,getcha
reappeared,عاد للظهور
malay,لغة الملايو
jami,جامي
beat-up,الضرب
cleric,رجل دين
cordy,كوردي
watermelons,البطيخ
carnivorous,آكلة اللحوم
guadalcanal,guadalcanal
governmental,حكومي
boeing,بوينغ
sher,شير
tamer,مروض
certification,شهادة
reminiscing,التذكر
omo,أومو
sul,سول
sunder,sunder
shire,شاير
bludgeoned,مضروب
alli,alli
keita,كيتا
cla,cla
impervious,منيع
yukawa,يوكاوا
weiner,وينر
paltry,تافهة
jemma,جيما
skeet,السكيت
unreachable,لا يمكن الوصول إليه
analytical,تحليلي
corsage,الصدار
bangin,بانجين
rife,منتشر
masquerading,التنكر
kt,كيلوطن
bullfighter,مصارع الثيران
graced,أنعم
barron,بارون
tamra,طمرة
perforated,مثقب
gaudy,مبهرج
lesion,الآفة
macao,ماكاو
nss,nss
perfecting,اتقان
veera,فيرا
claustrophobia,رهاب الأماكن المغلقة
keefe,keefe
just--just,فقط--فقط
periodically,بشكل دوري
pennington,بنينجتون
prado,برادو
dark-haired,ذو الشعر الداكن
zuko,زوكو
carats,قيراط
fungi,فطريات
nev,نيف
landau,لانداو
nzt,nzt
aggravating,مشددة
doused,مصبوغ
course.,دورة.
toothbrushes,فرشاة الأسنان
afis,afis
beatty,بيتي
bhagat,بهجت
scents,الروائح
mitya,ميتيا
vertically,عموديا
pelant,بيلانت
heh-heh-heh,هيه هيه هيه
prioritize,تحديد الأولويات
loman,لومان
intermediary,وسيط
myeong,myeong
centerpiece,القطعة المركزية
proprietary,الملكية
jayden,جايدن
biologists,علماء الأحياء
mothra,موثرا
dake,داك
oboe,المزمار
blurt,صراحة
tallahassee,تالاهاسي
inflammatory,التهابات
coochie,كوشي
hubbub,هرج ومرج
entail,يستلزم
tetsuo,تيتسو
lida,ليدا
wetter,أكثر رطوبة
battleground,ساحة المعركة
fleshy,سمين
hamada,حمادة
repose,راحة
stimulates,يحفز
decontamination,إزالة التلوث
clapton,كلابتون
foust,foust
first-year,السنة الأولى
remiss,مهمل
omi,أومي
nauseating,مقرف
discredited,فقدت مصداقيتها
two-and-a-half,سنتين ونصف
acquisitions,عمليات الاستحواذ
magnanimous,شهم
slovak,السلوفاكية
karine,كارين
derive,اشتقاق
reiner,راينر
schoolgirls,تلميذات
soared,ارتفعت
palle,شاحب
poplar,الحور
depressive,اكتئابي
underlined,تم التأكيد عليه
bib,مريلة
separatist,انفصالي
mothefrucker,com.mothefrucker
lynx,الوشق
nudes,العراة
crixus,كريكسوس
inhospitable,غير مضياف
ryoko,ريوكو
discerning,المميزين
kidder,طفل
kodai,كوداي
pecs,بيكس
sunflowers,عباد الشمس
galvin,جالفين
tomi,تومي
toyou,لك
dilly,ديلي
sellin,com.sellin
incas,الإنكا
prototypes,النماذج الأولية
moos,موس
youve,لقد قمت بذلك
voluptuous,حسي
aprons,مآزر
sibley,سيبلي
gillis,جيليس
transcribed,مكتوب
porta,بورتا
proletarian,البروليتاري
pygmy,قزم
endora,إندورا
bogs,المستنقعات
shaka,شاكا
shetty,شيتي
fixin,Fixin
deities,الآلهة
hovel,كوخ حقير
lazlo,لازلو
bracken,السرخس
dickson,ديكسون
yuma,يوما
indefinite,لأجل غير مسمى
matrimonial,الزوجية
abbi,آبي
frey,فراي
bhabhi,bhabhi
cruises,الرحلات البحرية
damper,المثبط
bushy,كثيف
remix,ريمكس
romney,رومني
revolutionize,ثورة
mojito,موخيتو
rickie,ريكي
carruthers,كاروثرز
poser,متصنع
moomin,مومن
angling,الصيد
gibby,غيبي
kronor,كرونة
s.o.s.,s.o.s.
cassini,كاسيني
inconspicuous,غير واضح
skepticism,الشك
smoldering,المشتعلة
undisputed,بلا منازع
c-can,ج-يمكن
long-haired,طويل الشعر
dependence,التبعية
livery,كسوة
clucks,قرقرة
adela,أديلا
roark,زئير
blackstone,بلاكستون
iive,iive
right,يمين
browne,براون
hms,hms
racine,راسين
these,هؤلاء
pheebs,phebs
odile,أوديل
spic,متكلم بالإسبانية
offed,منزعج
eiko,إيكو
battlestar,com.battlestar
fatherhood,الأبوة
silks,حرير
rudd,أرد سمك نهري
balding,أصلع
blinky,يومض
pres,بري
isak,إسحاق
knuckleheads,رؤوس المفاصل
catty,هراني
burgled,سطو
giddap,com.giddap
faii,faii
reprimanded,توبيخ
alters,يغير
natsu,ناتسو
pei,بى
ack,ack
able-bodied,قادر
truer,أصدق
chesapeake,تشيسابيك
traitorous,خائن
ayn,عين
industrious,كادح
agnew,جديد
goings,ما يحدث
shari,شاري
renegotiate,إعادة التفاوض
cantaloupe,الشمام
dapper,أنيق
sais,سايس
upton,ابتون
doctor-patient,طبيب مريض
sant,سانت
nother,غير ذلك
compile,ترجمة
touche,touche
dosed,مداوي
pick-me-up,اصطحابي
desktop,سطح المكتب
krissi,كريسي
togetherness,العمل الجماعي
kink,شبك
disobedient,عصاة
selby,سيلبي
gables,الجملونات
enterprising,مغامر
leaped,قفز
gentlemanly,جنتلمانى
wry,ساخر
hippopotamus,فرس النهر
discrepancies,التناقضات
mahmut,محمود
router,جهاز التوجيه
applesauce,عصير التفاح
ills,العلل
agra,أغرا
confidentially,بسرية
rydell,ريدل
aground,جنحت
pah,الهيئة العامة للإسكان
respectability,الاحترام
fishin,فيشين
suman,سومان
quay,رصيف
recoil,نكص
hi,أهلاً
brash,صراخ
dweeb,دويب
iearn,iearn
shanty,الصفيح
gatekeeper,حارس البوابة
insemination,التلقيح
mojave,mojave
schoolhouse,المدرسة
lifestyles,أنماط الحياة
boos,صيحات الاستهجان
quoi,quoi
oiled,مزيت
mics,ميكروفونات
huh-uh,هاه اه
teacup,فنجان شاي
fertilized,مخصب
hertz,هيرتز
manet,مانيه
matte,ماتي
mendel,مندل
baiting,الاصطياد
mobilization,التعبئة
beady,خرزي
faker,مزيف
la-la-la-la,لا لا لا لا
thirty-eight,ثمانية وثلاثون
stupor,ذهول
intensified,تكثف
sleaze,بالفساد
up,أعلى
randal,راندال
nis,شيكل
cl,cl
mitigating,التخفيف
tosca,توسكا
headquarter,المقر الرئيسي
over-,زيادة-
naidu,نايدو
talons,مخالب
reruns,إعادة التشغيل
babysitters,المربيات
saori,ساوري
maison,ميزون
noting,مشيرا
pio,بيو
geared,موجهة
af,بالعربية
sunup,شروق الشمس
parr,بار
pulley,بكرة
pled,تعهد
grasshoppers,الجنادب
hondo,hondo
sigrid,سيغريد
jilly,جيلي
juli,جولي
infer,استدلال
mens,مِلك الرجال
justly,بعدل
diya,ضياء
roadie,com.roadie
disabilities,الإعاقات
armoury,مستودع الأسلحة
ogami,أوغامي
lyme,لايم
yeow,نعم
martel,مارتل
taxing,فرض الضرائب
foxxy,ماكر
somersault,شقلبة
clings,يتمسك
backups,النسخ الاحتياطية
mocks,يسخر
clamped,فرضت
michi,ميتشي
unlicensed,غير مرخصة
flagg,فلاج
steers,يوجه
autobot,الروبوت
volley,تسديدة
advocating,الدعوة
bestest,الأفضل
varma,فارما
infiltrating,تسلل
ajar,مفتوح جزئيا
ramone,رامون
drawbridge,جسر متحرك
brahmin,براهمين
lucca,لوكا
pisces,الحوت
nonviolent,اللاعنفية
ua,تعميم الوصول إلى الخدمات
shil,شيل
manoeuvres,مناورات
jovi,جوفي
hieroglyphics,الهيروغليفية
magi,المجوس
ml,مل
sethu,sethu
nietzschean,نيتشه
taub,توب
graeme,غرايم
he-man,هو رجل
cilla,سيلا
mi-ho,مي هو
subliminal,لا شعوري
disapproval,الرفض
grug,غروغ
oahu,أوهايو
manju,مانجو
ebb,انحسار
eclair,eclair
purdy,بوردي
iffy,غير محدد
manifested,تجلى
reminiscent,يذكرنا
choral,كورالي
gallivanting,تسلية
bosh,كلام فارغ
zipped,مضغوط
gae,جاي
today-,اليوم-
scaled,تحجيم
gallbladder,المرارة
madea,ماديا
asami,أسامي
waring,تحذير
vapour,بخار
floorboard,لوح الأرضية
dismantling,تفكيك
tippi,تيبي
bak,باك
zords,zords
snide,سنيد
squabbling,الشجار
cropped,اقتصاص
roams,يتجول
het,هيت
sikh,السيخ
yadda,يادا
kant,كانط
restlessness,الأرق
conti,كونتي
noreen,نورين
mohini,موهيني
conch,محارة
inescapable,محتوم
rc,RC
hilde,هيلدا
diluted,مخفف
single-handed,بيد واحدة
clawing,مخالب
conquerors,الفاتحين
tra,ترا
cogs,التروس
chatterbox,صندوق الثرثرة
heart-to-heart,من القلب إلى القلب
glossy,لامع
tama,تاما
lieut,ملازم
braden,برادين
medley,متنوع
paraphernalia,أدوات
departmental,الإدارات
jabba,جابا
counterparts,نظرائهم
belligerent,محارب
aime,هدف
transcends,يتجاوز
djinn,الجن
cancun,كانكون
abuser,المسيء
capers,نبات الكبر
propel,دفع
good-night,طاب مساؤك
murderface,com.killface
mathew,ماثيو
mima,ميما
popper,بوبر
transgressions,التجاوزات
buyin,buyin
pensioners,المتقاعدين
soya,فول الصويا
windowsill,حافة النافذة
methamphetamine,الميثامفيتامين
marky,ماركي
noun,اسم
rouen,روان
gerber,جربر
patter,طقطق
kita,كيتا
hows,كيف
imperialist,الامبريالية
behest,وصية
nighty-night,ليلة نايتي
endangerment,تعريض للخطر
pay-per-view,الدفع مقابل المشاهدة
god-,إله-
j-just,ي-فقط
vash,vash
adnan,عدنان
buongiorno,buongiorno
third-rate,من الدرجة الثالثة
hyperdrive,com.hyperdrive
catered,تلبية
lovell,لوفيل
croaks,المحتالون
uncooperative,غير متعاون
craved,مشتهى
carabinieri,carabinieri
snazzy,أنيق
refrigeration,تبريد
inert,خامل
gamekeeper,حارس اللعبة
argentinean,أرجنتيني
specialties,التخصصات
deep-fried,مقلي
lópez,لوبيز
ela,ela
billion-dollar,مليار دولار
manservant,خادم
verdun,فردان
cheech,chech
mariel,مارييل
intermediate,متوسط
nips,خطط التنفيذ الوطنية
palpitations,خفقان
spans,يمتد
fine-looking,حسن المظهر
smokescreen,شاشة دخان
adriano,أدريانو
collaborated,تعاونت
first-born,البكر
unrecognizable,لا يمكن التعرف عليه
overzealous,مفرط الحماس
rea,ريا
ariane,أريان
freer,أكثر حرية
mannequins,العارضات
mclane,com.mclane
nk,nk
kraken,كراكن
gauls,الاغريق
biotech,التكنولوجيا الحيوية
sterilized,معقمة
pressurized,مضغوط
second-degree,الدرجة الثانية
scattering,نثر
assange,أسانج
naz,ناز
jeopardized,للخطر
appointing,تعيين
wiper,ممسحة
carmelo,كارميلو
cinemas,دور السينما
broyles,برويلز
clavin,clavin
truest,أصدق
kwun,كوون
cleft,شق
wray,راي
bream,الدنيس
justifiable,له ما يبرره
sten,ستين
barked,نبح
cancels,يلغي
homeowners,أصحاب المنازل
notwithstanding,بالرغم من ذلك
voyeur,المتلصص
havers,هافرز
chronos,كرونوس
abilene,أبيلين
out-of-town,خارج المدينة
prosthetics,الأطراف الاصطناعية
second-class,من الدرجة الثانية
bly,bly
petya,بيتيا
oomph,الجاذبية
19th-century,القرن التاسع عشر
hochstetter,com.hochstetter
multiplication,الضرب
incentives,الحوافز
phlox,الفلوكس
thirty-seven,سبعة وثلاثون
horned,مقرن
lf,LF
matchmaking,التوفيق
soma,سوما
barmy,بارمي
one.,واحد.
meme,ميمي
50-year-old,50 عاما
saturation,التشبع
ley,لاي
impossibly,مستحيل
pff,pff
philistine,صغير الحجم
gnaw,نخر
mother-daughter,ابنة الأم
crepes,نسيج الكرنب
paki,باكي
lope,تبختر
toasts,الخبز المحمص
hypertension,ارتفاع ضغط الدم
palo,بالو
mili,ميلي
baring,تعرية
come-,يأتي-
sylar,سيلار
petter,بيتر
winks,غمزات
conditional,شرطي
foreseeable,متوقع
evens,يسوي
vandalized,تخريب
flatulence,انتفاخ البطن
samira,سميرة
rusk,بقسماط
best-looking,أفضل مظهر
designation,تعيين
raus,راوس
captivating,آسر
extravagance,الإسراف
vve,vve
chutes,المزالق
oshin,أوشين
two-headed,برأسين
leprechauns,الجُناة
eben,إبن
gsr,gsr
bade,بادي
responsibly,بمسؤولية
sigurd,سيجورد
rekha,rekha
heston,هيستون
initiatives,المبادرات
paşa,باشا
wameru,wameru
yοur,الخاص بك
proficient,يتقن
kenna,كينا
boog,boog
sty,مكان قذر
dutton,دوتون
assailants,المهاجمين
noboru,نوبورو
duels,المبارزات
advantageous,مفيد
amps,أمبير
biochemical,الكيمياء الحيوية
contraception,منع الحمل
lago,لاغو
winkle,غمزة
obsessions,الهواجس
accumulation,تراكم
deuces,التعادل
percentages,النسب المئوية
assimilated,استيعابها
ivanov,إيفانوف
cobain,كوبين
institutional,المؤسسية
changeling,التغيير
sd,SD
machu,مفتول العضلات
his-,له-
peacemaker,صانع السلام
plaintiffs,المدعين
universally,عالميا
corman,كورمان
instructing,تعليمات
alissa,أليسا
humps,الحدب
rien,رين
ea,عصام
raza,رضا
separatists,الانفصاليين
till,حتى
transistor,الترانزستور
mirai,ميري
sinker,ثقالة
incur,تحمل
decomposed,متحللة
informally,بشكل غير رسمي
metz,ميتز
pandemonium,الهرج والمرج
jesper,يسبر
commissioners,المفوضين
guggenheim,غوغنهايم
detrimental,ضار
jogger,عداء ببطء
overdressed,overdressed
narco,مخدرات
deniz,دنيز
heavy-duty,الثقيلة
aldrin,ألدرين
monti,مونتي
diy,ديي
coolers,مبردات
paratroopers,المظليين
bbq,شواء
nomine,ترشيح
concentrations,التركيزات
dorn,دورن
years-,سنين-
lada,لادا
ame,آمي
manipulator,مناور
excavations,الحفريات
edu,ايدو
saxons,الساكسونيون
cantina,كانتينا
beggin,تبدأ
toulon,تولون
undocumented,غير موثقة
barges,الصنادل
inappropriately,بشكل غير لائق
certify,التصديق
naru,نارو
amira,أميرة
thorny,شائكة
rosco,روسكو
diggin,diggin
twiki,تويكي
electrocution,الصعق بالكهرباء
lulla,تهليل
compatibility,التوافق
beauregard,بيوريجارد
dents,الخدوش
crone,حيزبون
savi,سافي
flan,فلان
harpy,هاربي
refine,صقل
boyhood,الصبا
aguirre,أغيري
dorota,دوروتا
oni,أوني
nyang,نيانغ
toole,أداة
am-,أكون-
troi,تروي
bylaws,اللوائح
corinthians,كورنثوس
jogi,جوجي
guppy,غوبي
recreating,إعادة إنشاء
minori,صغيري
characterize,تميز
salam,سلام
stoney,ستوني
biddy,biddy
pum,بوم
barrio,باريو
hy,hy
majid,ماجد
boleyn,بولين
placid,هادئ
sirree,سيري
clio,كليو
nymphomaniac,شبق
excommunicated,مطرود
bosoms,حضن
agata,أجاتا
qiao,تشياو
lyra,ليرا
racquetball,كرة المضرب
amassed,جمعت
mme.,mme.
pyotr,بيتر
o,س
eroded,تآكل
effeminate,مخنث
neely,نيلي
deane,عميد
extravaganza,الروعة
gad,جاد
tet,تيت
substation,محطة فرعية
decomposing,متحللة
topaz,التوباز
pregnancies,حالات الحمل
ponch,بونش
pediatrics,طب الأطفال
colic,مغص
implementation,تطبيق
overthrown,أطيح به
administrators,المسؤولين
gobi,جوبي
diggle,حفر
earle,إيرل
omnipotent,القدير
goss,جوس
mites,العث
chia,شيا
nought,لا شيء
leery,حذر
world-,عالم-
collie,الكولي
xiv,الرابع عشر
marten,مارتن
abnormality,اضطراب
wilds,براري
all-you-can-eat,كل ما يمكنك تناوله
christendom,المسيحية
bakes,يخبز
brixton,بريكستون
b.b.,ب.
cohn,كوهن
ativan,أتيفان
uncontrolled,غير المنضبط
ceres,سيريس
short-sighted,قصر النظر
yumiko,يوميكو
boozer,بوزر
motorbikes,دراجات نارية
félix,فيليكس
munson,مونسون
enact,سن
breton,بريتون
menial,وضيع
grasslands,المراعي
bode,يبشر
caputo,com.caputo
lookee,lookee
gena,جينا
doobie,doobie
full-fledged,كاملة
overestimate,المبالغة في تقدير
brownstone,براونستون
basra,البصرة
way.,طريق.
bem,bem
slouch,ترهل
videotaped,مسجلة بالفيديو
voice-mail,البريد الصوتي
lunge,اندفع
battlefields,ساحات القتال
michio,ميتشيو
acorns,الجوز
fragmented,مجزأة
parley,parley
trippy,com.trippy
cadfael,cadfael
reshma,ريشما
yuppie,المترف
a1,a1
unprovoked,غير مبرر
effortless,جهد
resounding,مدوية
cymbals,الصنج
go,يذهب
